timestamp,src_ip,src_port,dst_ip,dst_port,protocol,transport,connection_type
2025-01-09 21:33:48.002132,138.219.201.243,24531,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:48.599425,138.219.201.243,60002,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:49.196219,138.219.201.243,24569,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:49.786880,138.219.201.243,60011,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:51.418272,138.219.201.243,24602,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:51.998423,138.219.201.243,24643,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:52.573855,138.219.201.243,24653,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:53.157887,138.219.201.243,24671,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:53.733241,138.219.201.243,24679,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:54.320389,138.219.201.243,24690,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:54.918627,138.219.201.243,24713,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:55.516992,138.219.201.243,24729,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:56.091396,138.219.201.243,60070,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:57.688422,138.219.201.243,60074,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:58.284853,138.219.201.243,24796,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:58.890715,138.219.201.243,24815,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:33:59.482558,138.219.201.243,60100,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:00.077719,138.219.201.243,24839,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:00.667920,138.219.201.243,24863,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:01.246344,138.219.201.243,24875,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:01.835313,138.219.201.243,24889,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:02.432330,138.219.201.243,60128,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:03.027439,138.219.201.243,60130,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:03.626108,138.219.201.243,60140,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:04.215989,138.219.201.243,24951,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:04.797151,138.219.201.243,24963,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:05.397254,138.219.201.243,24986,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:07.034271,138.219.201.243,24995,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:07.627822,138.219.201.243,25029,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:08.227991,138.219.201.243,25053,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:08.836012,138.219.201.243,60184,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:09.423387,138.219.201.243,25078,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:10.019046,138.219.201.243,25105,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:10.612511,138.219.201.243,25114,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:11.196547,138.219.201.243,25137,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:11.787122,138.219.201.243,25150,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:12.380465,138.219.201.243,25161,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:12.969450,138.219.201.243,25189,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:13.551049,138.219.201.243,60232,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:14.149689,138.219.201.243,60240,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:14.732165,138.219.201.243,25235,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:16.377410,138.219.201.243,25246,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:16.975501,138.219.201.243,25289,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:17.573897,138.219.201.243,25312,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:18.165205,138.219.201.243,25319,192.168.128.2,445,smbd,tcp,accept
2025-01-09 21:34:18.765985,138.219.201.243,25347,192.168.128.2,445,smbd,tcp,accept
